-122.1404688,47.60042941
-122.1405148,47.60035469
-122.1405772,47.60027203
-122.1406466,47.60017544
-122.1407131,47.60007841
-122.1408027,47.5999641
-122.1408935,47.5998628
-122.1409981,47.59975866
-122.1410831,47.5996687
-122.1411792,47.59958102
-122.1412664,47.59950168
-122.1413546,47.5994284
-122.1414381,47.59936003
-122.1415117,47.59928608
-122.1415697,47.59921713
-122.1416547,47.59914999
-122.141723,47.59908733
-122.1418122,47.59902636
-122.1418861,47.59898308
-122.141932,47.59895037
-122.1419547,47.5989328
-122.1419356,47.59893654
-122.1419283,47.59893411
-122.1419276,47.59893179
-122.1419261,47.59893248
-122.1419303,47.59893342
-122.1419354,47.59893329
-122.1419353,47.59893206
-122.1419329,47.59892946
-122.1419328,47.59893113
-122.1419344,47.59893
-122.1419367,47.59892676
-122.1419368,47.59892615
-122.141937,47.59892509
-122.141936,47.59892501
-122.141936,47.5989252
-122.1419359,47.59892486
-122.1419518,47.5989185
-122.141984,47.59889862
-122.1420221,47.59887703
-122.142077,47.59885452
-122.142176,47.59879519
-122.1422692,47.59874662
-122.1423719,47.59870426
-122.1424701,47.59864954
-122.1425852,47.59859591
-122.1426505,47.59851309
-122.1426661,47.59842784
-122.1426801,47.59835482
-122.1426852,47.59826557
-122.142695,47.59816586
-122.1426923,47.59804946
-122.142687,47.59795181
-122.142691,47.5978417
-122.1426826,47.59770524
-122.1426864,47.59759314
-122.1427094,47.59750957
-122.1427104,47.59742978
-122.1427228,47.59736045
-122.1427216,47.59727945
-122.1427163,47.59719794
-122.1427209,47.59713267
-122.1427141,47.59706177
-122.1427132,47.59700012
-122.1427153,47.59691573
-122.1427138,47.59683155
-122.1427168,47.59673861
-122.1427086,47.59665174
-122.1427091,47.59656731
-122.142707,47.59647202
-122.1427045,47.59637015
-122.1427092,47.59625961
-122.1427166,47.59613732
-122.1427286,47.59599684
-122.1427445,47.59584175
-122.1427516,47.59568287
-122.142759,47.59552175
-122.1427654,47.59535636
-122.142764,47.59518334
-122.1427716,47.59501048
-122.1427708,47.59482353
-122.142773,47.59464091
-122.1427769,47.59445958
-122.1427735,47.59428081
-122.142776,47.59410094
-122.142776,47.59391637
-122.1427794,47.59372947
-122.1427806,47.59354256
-122.1427855,47.59336573
-122.1427821,47.59317355
-122.1427697,47.59298598
-122.1427652,47.59280422
-122.1427592,47.59263153
-122.1427549,47.59246351
-122.1427423,47.59229136
-122.1427365,47.59213189
-122.1427352,47.59200348
-122.1427202,47.59186742
-122.1427144,47.59174709
-122.1427199,47.59162955
-122.1427171,47.59152057
-122.1427203,47.59143237
-122.1427198,47.59135883
-122.1427392,47.591318
-122.1427404,47.59128165
-122.142739,47.59124943
-122.1427419,47.59123024
-122.1427526,47.59122469
-122.1427523,47.59122431
-122.142753,47.59122444
-122.1427519,47.59122556
-122.1427514,47.59122563
-122.1427469,47.59122622
-122.142743,47.59122695
-122.1427402,47.59122939
-122.1427376,47.59123062
-122.1427359,47.59123113
-122.1427348,47.59123172
-122.1427347,47.59123215
-122.142735,47.59123219
-122.1427352,47.59121138
-122.1427334,47.59116526
-122.1427242,47.59109814
-122.1427278,47.59100479
-122.1427255,47.59088708
-122.1427181,47.59075543
-122.1427079,47.59062097
-122.1427077,47.59049462
-122.1426996,47.59034536
-122.1427011,47.59018696
-122.1427162,47.59005168
-122.1427081,47.58987483
-122.1427194,47.58971838
-122.1427319,47.58956665
-122.1427433,47.58942491
-122.1427453,47.58928916
-122.1427573,47.58915015
-122.1427643,47.58902022
-122.1427731,47.58888277
-122.1427736,47.58874876
-122.1427792,47.58860821
-122.1427844,47.58845864
-122.1427871,47.58830621
-122.1427805,47.5881431
-122.1427803,47.58796826
-122.1427749,47.58778752
-122.1427873,47.58762519
-122.1428013,47.58746409
-122.1427961,47.58731014
-122.1427973,47.58715559
-122.1427994,47.58701046
-122.1427961,47.58686597
-122.142808,47.58674804
-122.1428067,47.58662096
-122.1427992,47.58647727
-122.1427917,47.58633848
-122.142799,47.58618783
-122.1427961,47.58602141
-122.1427974,47.58584026
-122.1427894,47.58566302
-122.1427936,47.58547926
-122.1427984,47.58528422
-122.1428107,47.58508437
-122.1428215,47.58488184
-122.142828,47.58467355
-122.1428442,47.58447998
-122.1428606,47.58429002
-122.1428915,47.5840972
-122.1429233,47.58392065
-122.1429491,47.58373916
-122.1429773,47.58354789
-122.1429992,47.58335761
-122.14303,47.5831634
-122.143052,47.58297435
-122.1430646,47.58278694
-122.1430705,47.58259707
-122.1430433,47.58241132
-122.1429996,47.58222476
-122.1429357,47.58204112
-122.1428554,47.58186475
-122.1427555,47.58169584
-122.1426488,47.58152884
-122.1425218,47.58136812
-122.1423918,47.58120808
-122.1422649,47.58105199
-122.1421369,47.58089605
-122.1420359,47.58072966
-122.141973,47.58055981
-122.1419634,47.58038903
-122.1420058,47.58022377
-122.1420661,47.5800556
-122.142221,47.57991016
-122.1423898,47.57977756
-122.1425953,47.57966397
-122.1428282,47.57957735
-122.1430882,47.57952056
-122.1433548,47.57950806
-122.1436276,47.57951756
-122.1438929,47.57952785
-122.1441708,47.57953978
-122.1444583,47.5795519
-122.1447532,47.57956004
-122.1450557,47.57957028
-122.1453751,47.57958666
-122.1456883,47.57959925
-122.1460106,47.57961436
-122.1463318,47.57962696
-122.1466594,47.57964277
-122.1469802,47.57965327
-122.1473095,47.57966059
-122.1476463,47.5796706
-122.1479912,47.57968344
-122.1483426,47.5796967
-122.1486985,47.57971509
-122.1490573,47.57972879
-122.1494188,47.57973999
-122.1497848,47.57975207
